,cond1,cond2,t,p,value_remap_1,value_remap_2
0,gibbs_cluster,gpt3_gibbs_completion,0.8915558282417286,0.3794992061837489,"[1, 2, 3]",<zip object at 0x2fb354ac0>
1,gibbs_cluster,gpt3_ada,2.4406685037296727,0.02057057260592289,"[1, 2, 3]",<zip object at 0x2fb354c00>
2,gibbs_cluster,gpt3_babbage,0.8915558282417286,0.3794992061837489,"[1, 2, 3]",<zip object at 0x2fb3643c0>
3,gibbs_cluster,gpt3_curie,0.8915558282417286,0.3794992061837489,"[1, 2, 3]",<zip object at 0x2fb364a00>
4,gibbs_cluster,gpt3_davinci,2.805614612563881,0.008598400487560923,"[1, 2, 3]",<zip object at 0x2fb364c80>
5,gibbs_cluster,bert,0.8915558282417286,0.3794992061837489,"[1, 2, 3]",<zip object at 0x2fb364500>
6,gibbs_cluster,human_label,0.8915558282417286,0.3794992061837489,"[1, 2, 3]",<zip object at 0x2fb364c00>
7,gpt3_gibbs_completion,gibbs_cluster,5.357583756107197,7.702220856411295e-06,"[1, 2, 3]",<zip object at 0x2fb366140>
8,gpt3_gibbs_completion,gpt3_ada,6.338366342550475,4.7025456800164025e-07,"[1, 2, 3]",<zip object at 0x2fb364ec0>
9,gpt3_gibbs_completion,gpt3_babbage,5.357583756107197,7.702220856411295e-06,"[1, 2, 3]",<zip object at 0x2fb366cc0>
10,gpt3_gibbs_completion,gpt3_curie,5.357583756107197,7.702220856411295e-06,"[1, 2, 3]",<zip object at 0x2fb366340>
11,gpt3_gibbs_completion,gpt3_davinci,6.523138109719821,2.795196214448802e-07,"[1, 2, 3]",<zip object at 0x2fb354dc0>
12,gpt3_gibbs_completion,bert,5.357583756107197,7.702220856411295e-06,"[1, 2, 3]",<zip object at 0x2fb366b80>
13,gpt3_gibbs_completion,human_label,5.357583756107197,7.702220856411295e-06,"[1, 2, 3]",<zip object at 0x2fb366d40>
14,gpt3_ada,gibbs_cluster,0.1768658638749664,0.860764246493638,"[(0, 1), (1, 2), (2, 3)]",<zip object at 0x2fb366980>
15,gpt3_ada,gpt3_gibbs_completion,0.1768658638749664,0.860764246493638,"[(0, 1), (1, 2), (2, 3)]",<zip object at 0x2fb366a00>
16,gpt3_ada,gpt3_babbage,0.1768658638749664,0.860764246493638,"[(0, 1), (1, 2), (2, 3)]",<zip object at 0x2fb366900>
17,gpt3_ada,gpt3_curie,0.1768658638749664,0.860764246493638,"[(0, 1), (1, 2), (2, 3)]",<zip object at 0x2fb367300>
18,gpt3_ada,gpt3_davinci,0.8915558282417286,0.3794992061837489,"[(0, 1), (1, 2), (2, 3)]",<zip object at 0x2fb364d00>
